Postal Code,Place Name,State,State Abbreviation,Latitude,Longitude
053 62,Bystrany,Spišská Nová Ves,KI,48.95,20.7667
053 63,Vítkovce,Spišská Nová Ves,KI,48.9333,20.7333
053 75,Delava,Spišská Nová Ves,KI,48.8333,20.5
053 76,Rakovec,Spišská Nová Ves,KI,48.8583,20.4125
075 01,Ve?ký Ruskov,Trebišov,KI,48.65,21.6833
076 01,Kožuchov,Trebišov,KI,48.5667,21.7333
076 02,Zemplínsky Bran?,Trebišov,KI,48.55,21.7333
076 03,Hra?,Trebišov,KI,48.5167,21.8167
076 05,Zemplínske Jastrabie,Trebišov,KI,48.475,21.7917
076 11,Egreš,Trebišov,KI,48.6167,21.6167
076 12,Slivník,Trebišov,KI,48.6,21.55
076 13,Byšta,Trebišov,KI,48.5333,21.55
076 14,Lastovce,Trebišov,KI,48.55,21.6333
076 15,Hr?e?,Trebišov,KI,48.5333,21.7
076 16,Stan?a,Trebišov,KI,48.5667,21.6667
076 17,?e?ovce,Trebišov,KI,48.6,21.6333
076 22,Voj?ice,Trebišov,KI,48.6833,21.7167
076 31,Vini?ky,Trebišov,KI,48.4,21.75
076 32,Borša,Trebišov,KI,48.3833,21.7167
076 33,Slovenské Nové Mesto,Trebišov,KI,48.4,21.6667
076 34,Zemplín,Trebišov,KI,48.4333,21.8167
076 35,Svätá Mária,Trebišov,KI,48.45,21.8333
076 36,Ve?ký Kamenec,Trebišov,KI,48.3667,21.8167
076 37,Hrušov,Trebišov,KI,48.4667,21.875
076 41,Kolónia,Trebišov,KI,48.4167,22.0417
076 42,Kolónia,Trebišov,KI,48.3917,22.1083
076 43,Bo?any,Trebišov,KI,48.45,22.1
076 51,Pribeník,Trebišov,KI,48.3833,22
076 52,On?a,Trebišov,KI,48.3833,21.9111
076 53,Zatín,Trebišov,KI,48.4833,21.9
076 61,Dargov,Trebišov,KI,48.7556,21.65
076 62,Hunkovce,Trebišov,KI,48.7458,21.7125
076 63,Ve?ké Ozorovce,Trebišov,KI,48.6667,21.6167
076 64,Zemplínska Teplica,Trebišov,KI,48.65,21.5667
076 81,?erhov,Trebišov,KI,48.4667,21.65
076 82,Ve?ká T??a,Trebišov,KI,48.4667,21.6833
