Postal Codes,Place Name,State,Latitude,Longitude
90092,Ballaketuwa,BD,6.8667,81.1
90094,Helapupula,BD,6.8556,81.0722
90100,Bandarawela,BD,6.8369,80.9856
90102,Kebillawela,BD,6.8268,81.0178
90104,Dulgolla,BD,6.8268,81.0178
90106,Liyangahawela,BD,6.8268,81.0178
90108,Ambadandegama,BD,6.8167,81.05
90112,Heeloya,BD,6.8212,80.9407
90114,Makulella,BD,6.8212,80.9407
90122,Helahalpe,BD,6.8212,80.9407
90132,Diganatenna,BD,6.8667,80.9667
90134,Mirahawatta,BD,6.8817,80.9347
90138,Pattiyagedara,BD,6.8742,80.9507
90140,Ettampitiya,BD,6.9342,80.9853
90150,Diyatalawa,BD,6.8,80.9667
90160,Haputale,BD,6.7667,80.9667
90164,Ratkarawwa,BD,6.8,80.9167
90165,Nikapotha,BD,6.7333,80.9667
90166,Akkarasiyaya,BD,6.7792,80.9208
90168,Ohiya,BD,6.8167,80.8333
90170,Boralanda,BD,6.8319,80.8883
90171,Pitapola,BD,6.8319,80.8883
90180,Haldummulla,BD,6.7667,80.8833
90183,Soragune,BD,6.8333,80.8778
90184,Kiriwanagama,BD,6.9667,80.9
90186,Kalupahana,BD,6.7667,80.85
90188,Uva Tenna,BD,6.8333,80.8778
90190,Koslanda,BD,6.7333,81.0167
90192,Uva Mawelagama,BD,6.7333,81.0167
90200,Welimada,BD,6.9011,80.9228
90204,Amunumulla,BD,6.7333,80.75
90206,Galedanda,BD,6.9667,79.9333
90208,Gurutalawa,BD,6.8431,80.9228
90212,Puhulpola,BD,6.9,80.9333
90214,Dikkapitiya,BD,6.7381,80.9669
90216,Nugatalawa,BD,6.9,80.8833
90218,Medawela Udukinda,BD,6.846,80.9279
90222,Perawella,BD,6.9333,80.85
90224,Hangunnawa,BD,6.95,80.8833
90226,Uduhawara,BD,6.9667,80.8667
90230,Uvaparanagama,BD,6.8832,80.7912
90300,Ambagasdowa,BD,6.9239,80.8942
90302,Bowela,BD,6.95,80.9333
90310,Lunuwatta,BD,6.9917,80.9475
90322,Bambarapana,BD,7.1167,81.0375
90324,Dimbulana,BD,7,80.95
90326,Ambagahawatta,BD,7.4,81.3
90328,Maspanna,BD,7.0167,80.95
90329,Yalagamuwa,BD,7.05,80.95
90350,Keppetipola,BD,6.6833,80.7667
90352,Kalubululanda,BD,6.6833,80.7667
90354,Bogahakumbura,BD,6.6833,80.7667
90356,Kandepuhulpola,BD,6.6833,80.7667
90358,Hewanakumbura,BD,6.6833,80.7667
90364,Silmiyapura,BD,6.9097,80.8356
90500,Passara,BD,6.9333,81.15
90502,Bibilegama,BD,6.9,81.1333
90504,Miriyabedda,BD,6.9167,81.15
90506,Kotamuduna,BD,6.8833,81.1833
90508,Hingurukaduwa,BD,6.8167,81.15
90512,Gamewela,BD,6.9167,81.2
90518,Medawelagama,BD,6.9167,81.2
90522,Pelagahatenna,BD,6.9594,81.1552
90524,Hopton,BD,6.9594,81.1552
90530,Lunugala,BD,7.0333,81.2
90532,Arawakumbura,BD,7.0667,81.2
90534,Pallekiruwa,BD,7.0167,81.2333
90535,Madulsima,BD,7.0333,81.1667
90540,Metigahatenna,BD,6.9667,81.0833
90542,Atakiriya,BD,7.0667,81.1056
90544,Pitamaruwa,BD,7.1167,81.1333
90546,Kalugahakandura,BD,7.1167,81.1
90580,Namunukula,BD,6.8667,81.1167
90582,Maussagolla,BD,6.9,81.1333
90584,Miyanakandura,BD,6.8667,81.15
90700,Mahiyanganaya,BD,7.2444,81.1167
90702,Uraniya,BD,7.2333,81.1
90704,Ridimaliyadda,BD,7.2333,81.1
90706,Yalwela,BD,7.2667,81.15
90712,Arawatta,BD,7.3333,81.05
90714,Dambana,BD,7.3583,81.1083
90716,Wewatta,BD,7.3833,81.1667
90718,Sorabora Colony,BD,7.3583,81.1083
90722,Aluttaramma,BD,7.2167,81.0667
90724,Hebarawa,BD,7.2167,81.0667
90726,Divulapelessa,BD,7.2167,81.0667
90728,Kuruwitenna,BD,7.2167,81.0667
90730,Mapakadawewa,BD,7.3,81.1167
90734,Uva Tissapura,BD,7.3,81.1167
90736,Aluketiyawa,BD,7.3,81.1167
90738,Keselpotha,BD,7.3,81.1167
90750,Girandurukotte,BD,7.4,81.05
90752,Galporuyaya,BD,7.4,81.05
90754,Malgoda,BD,7.4,81.05
90756,Pahalarathkinda,BD,7.4,81.05
96167,Idalgashinna,BD,6.7833,80.9
90362,Boragas,(BD),6.9097,80.8356
00600,Wellawatta,CO,6.8739,79.8647
00800,Borella,CO,6.8739,79.8647
01300,Kotahena,CO,7.5833,80.55
01500,Mutwal,CO,8.2667,79.75
10100,Sri Jayawardenepu,CO,6.8897,79.9359
10115,Malabe,CO,6.9,79.95
10116,Talawatugoda,CO,6.8692,79.9411
10118,Hokandara,CO,6.8846,79.9456
10120,Battaramulla,CO,6.9,79.9167
10150,Athurugiriya,CO,6.8897,79.9359
10200,Homagama,CO,6.8408,80.0139
10202,Mullegama,CO,6.8833,80.0167
10204,Habarakada,CO,6.8667,80.0167
10206,Pitipana Homagama,CO,6.8477,80.016
10208,Kiriwattuduwa,CO,6.8,80.0167
10230,Pannipitiya,CO,6.85,79.95
10232,Hiripitya,CO,6.85,79.95
10250,Nugegoda,CO,6.8728,79.8908
10280,Maharagama,CO,6.8461,79.9281
10290,Boralesgamuwa,CO,6.8425,79.9006
10300,Piliyandala,CO,6.7981,79.9264
10302,Deltara,CO,6.7833,79.9167
10304,Siddamulla,CO,6.8167,79.9667
10306,Madapatha,CO,6.7669,79.92
